"t" "delta"
0.538 0
0.899 1
0.754 1
0.713 0
1.002 1
0.785 0
0.984 0
0.822 1
0.488 0
0.495 0
0.966 1
0.928 1
0.617 1
0.429 1
0.754 0
0.464 1
0.973 1
0.722 0
0.878 0
0.561 1
0.711 1
0.348 1
0.593 1
0.533 1
0.688 1
0.782 0
0.757 0
0.837 0
0.665 1
0.729 0
0.714 0
0.779 1
0.827 0
0.608 1
0.436 1
0.62 1
0.716 1
0.712 1
1.124 1
0.774 0
0.432 1
1.018 0
0.857 0
0.882 1
0.818 0
0.743 1
0.529 1
0.686 0
1.225 1
1.146 0
0.706 1
0.689 1
0.927 1
1.072 1
0.258 1
0.893 0
1.305 0
0.503 1
0.799 1
0.894 1
0.409 1
0.815 1
1.018 1
0.252 1
0.691 1
0.783 0
0.814 1
0.648 1
0.574 1
0.453 1
0.96 0
0.6 1
0.127 1
0.511 1
0.828 0
1 0
0.793 0
0.549 0
0.898 0
0.797 1
0.822 1
0.509 1
0.304 1
0.792 1
1.084 0
0.561 1
1.247 1
0.581 1
1.002 1
0.445 0
0.755 0
0.547 1
0.691 1
1.024 1
0.546 0
0.867 1
0.464 1
0.334 0
0.825 1
1.126 0
